"002100200025";5;;"2020-01-02";4;"0945";3;0;4;2;1;2;508;0;0;0;400;2;1;01;2;3;1;5;1;0;0;09;1;01;00;;3;39;"09";1;1;1;0;1;1;400;2;1;1;"";"";"-732769,644";"-1040838,847";"-732769,892";"-1040837,218";"PRAHA9HloubÏtÌn";"NOVOPACK¡";"";"sledovan·komunikace";"";"";"";"";"";"";"";"";"1"
"002100200026";4;;"2020-01-02";4;"1056";1;4;0;1;1;2;503;0;0;1;0;2;1;01;1;1;1;0;1;3;3;00;7;02;19;;8;78;"15";5;0;1;0;1;24;0;4;1;1;"";"";"-738828,994";"-1049720,245";"-738830,846";"-1049719,410";"PRAHA4";"ROZTYLSK¡";"";"uzel";"";"";"";"";"";"";"";"";"1"
"002100200027";5;;"2020-01-02";4;"1050";1;4;0;2;1;2;504;0;0;0;110;2;1;01;1;1;1;5;1;0;5;01;1;02;00;;3;04;"19";1;0;1;0;1;1;10;2;1;1;"";"";"-742386,427";"-1043867,320";"-742392,272";"-1043871,120";"PRAHA1NovÈMÏsto";"V¡CLAVSK…N¡M.";"";"uzel";"";"";"";"";"";"";"";"";"1"
"002100200028";6;;"2020-01-02";4;"2560";2;0;0;2;1;0;516;0;0;0;100;2;1;01;1;1;1;1;1;0;0;00;1;02;00;;17;;"XX";;;;;;;0;;;;"";"";"-732391,882";"-1042247,881";"-732391,713";"-1042250,108";"PRAHA9";"CÕGLEROVA";"";"mÌstnÌkomunikace";"";"";"";"";"";"";"";"";"1"
"002100200029";6;;"2020-01-01";3;"2560";2;0;0;2;1;0;516;0;0;0;300;2;1;01;1;1;1;1;1;0;0;00;1;02;00;;3;17;"15";3;0;1;0;1;6;300;;;;"";"";"-736969,398";"-1045390,575";"-736966,000";"-1045390,575";"PRAHA10";"KeK¯Ìûi";"";"sledovan·komunikace";"";"";"";"";"";"";"";"";"1"
"002100200030";5;;"2020-01-02";4;"1200";1;3;0;2;1;2;411;0;0;0;900;2;1;01;1;1;1;2;0;0;5;00;1;02;00;;3;04;"11";1;0;1;0;1;1;500;2;1;1;"";"";"-738815,504";"-1049672,666";"-738815,516";"-1049672,598";"PRAHA4";"PODCHODOVEM";"";"uzel";"";"";"";"";"";"";"";"";"1"
"002100200031";6;;"2020-01-02";4;"1022";3;0;9;2;1;2;508;0;0;0;100;2;1;01;1;1;1;1;1;0;5;02;1;01;00;;3;08;"18";1;0;1;0;1;5;50;2;1;1;"";"";"-743217,702";"-1043985,557";"-743216,276";"-1043985,199";"PRAHA1";"KÿEMENCOVA";"";"mÌstnÌkomunikace";"";"";"";"";"";"";"";"";"1"
"002100200032";5;;"2020-01-02";4;"1235";1;4;0;2;1;2;503;0;0;0;40;2;1;01;1;1;1;5;1;0;0;00;1;02;00;;3;47;"10";9;0;1;0;1;3;20;2;1;1;"";"";"-744522,778";"-1041963,296";"-744522,823";"-1041960,707";"PRAHA6HradËany";"MILADYHOR¡KOV…";"";"uzel";"";"";"";"";"";"";"";"";"1"
"002100200033";6;;"2020-01-02";4;"1460";2;0;0;2;1;0;516;0;0;0;700;2;1;01;1;1;1;1;1;0;0;00;1;02;00;;3;47;"07";3;0;4;0;1;5;300;9;;;"";"";"-740906,695";"-1045688,043";"-740906,650";"-1045685,718";"PRAHA10Vröovice";"VRäOVICK¡";"";"sledovan·komunikace";"";"";"";"";"";"";"";"";"1"
"002100200034";4;;"2020-01-02";4;"1435";1;2;0;2;1;2;401;0;0;0;5000;2;1;01;1;1;1;0;1;2;0;02;5;02;19;;3;44;"19";1;0;1;0;1;73;2000;2;1;1;"";"";"-739845,944";"-1045510,828";"-739845,600";"-1045510,765";"PRAHA10";"VRäOVICK¡";"";"uzel";"";"";"";"";"";"";"";"";"1"
"002100200035";6;;"2020-01-02";4;"1300";3;0;6;2;1;2;508;0;0;0;200;2;1;01;1;1;1;1;0;0;0;00;1;01;00;;3;35;"11";1;0;1;0;1;5;200;2;1;1;"";"";"-741120,699";"-1046153,495";"-741126,854";"-1046189,31";"Praha";"KlobouËnick·";"";"mÌstnÌkomunikace";"";"288101";"";"OpaËn˝kesmÏru˙seku";"Pomal˝";"554782";"452190";"GN_V0.1UIR-ADR_410";"1"
"002100200036";8;;"2020-01-01";3;"2560";3;0;2;2;1;0;508;0;0;0;20;2;1;01;1;1;1;0;0;0;0;10;1;01;00;;3;39;"09";1;0;4;0;1;5;0;9;;;"";"";"-743409,816";"-1052050,675";"-743407,678";"-1052048,157";"PRAHA4";"GENER¡LAäIäKY";"";"sledovan·komunikace";"";"";"";"";"";"";"";"";"1"
"002100200037";4;;"2020-01-02";4;"1520";1;2;0;2;1;2;508;0;0;0;400;2;1;01;1;1;1;0;1;3;3;00;4;02;19;;3;47;"09";9;0;1;0;1;19;100;3;1;1;"";"";"-744466,210";"-1044877,878";"-744466,186";"-1044878,265";"PRAHA5SmÌchov";"";"";"uzel";"";"";"";"";"";"";"";"";"1"
"002100200038";5;;"2020-01-02";4;"1540";1;3;0;2;1;2;408;0;0;0;700;2;1;01;1;1;1;5;1;0;0;02;1;02;00;;3;39;"10";12;0;0;0;1;1;200;2;1;1;"";"";"-742480,801";"-1044955,493";"-742481,918";"-1044955,383";"PRAHA2NovÈMÏsto";"SOKOLSK¡";"";"sledovan·komunikace";"";"";"";"";"";"";"";"";"1"
"002100200039";8;;"2020-01-02";4;"1360";2;0;0;2;1;0;516;0;0;0;100;2;1;01;1;1;1;0;0;0;0;10;1;02;00;;3;60;"08";1;0;4;0;1;5;0;9;;;"";"";"-744339,785";"-1044546,082";"-744339,815";"-1044546,907";"PRAHA5SmÌchov";"PLZE“SK¡";"";"sledovan·komunikace";"";"";"";"";"";"";"";"";"1"
"002100200040";5;;"2020-01-02";4;"1530";1;2;0;2;1;2;411;0;0;0;2000;2;1;01;1;1;1;5;1;0;5;02;1;02;00;;3;99;"16";1;0;1;0;1;1;800;2;1;1;"";"";"-742742,897";"-1044158,211";"-742743,458";"-1044160,626";"PRAHA1";"éITN¡";"";"uzel";"";"";"";"";"";"";"";"";"1"
"002100200041";6;;"2020-01-01";3;"2560";2;0;0;2;1;0;516;0;0;0;200;2;1;01;1;1;1;1;0;0;0;00;1;02;00;;17;;"XX";;;;;;;0;;;;"";"";"-744029,342";"-1043740,548";"-744029,347";"-1043740,622";"PRAHA5Mal·Strana";"PETÿÕNSK¡";"";"mÌstnÌkomunikace";"";"";"";"";"";"";"";"";"1"
"002100200042";6;;"2020-01-02";4;"1625";3;0;2;2;1;2;508;0;0;0;300;2;1;01;1;2;1;1;1;0;0;00;1;01;00;;5;62;"98";3;0;0;0;1;5;100;3;1;1;"";"";"-740142,953";"-1045726,158";"-740143,017";"-1045725,816";"PRAHA10Vröovice";"MAGNITOGORSK¡";"";"mÌstnÌkomunikace";"";"";"";"";"";"";"";"";"1"
"002100200043";6;;"2020-01-02";4;"1555";2;0;0;2;1;2;508;0;0;0;700;2;1;01;1;1;1;1;1;0;0;02;1;02;00;;3;31;"04";1;0;1;0;1;5;300;2;1;1;"";"";"-737354,803";"-1041953,478";"-737351,995";"-1041954,373";"PRAHA9";"»ESKOMORAVSK¡";"";"mÌstnÌkomunikace";"";"";"";"";"";"";"";"";"1"
"002100200044";6;;"2020-01-01";3;"2560";2;0;0;2;1;0;516;0;0;0;100;2;1;01;1;1;1;1;1;0;0;00;1;02;00;;17;;"XX";;;;;;;0;;;;"";"";"-749273,942";"-1047797,924";"-749273,013";"-1047798,455";"PRAHA13-Stod˘lky";"PÿECECHTÃLOVA";"";"mÌstnÌkomunikace";"";"";"";"";"";"";"";"";"1"
